Entity,Code,Year,Renewables (% equivalent primary energy),Grwth rt
Africa,,1965,5.7474947,
Africa,,1966,6.122062,6.5
Africa,,1967,6.325731,3.3
Africa,,1968,7.005293,10.7
Africa,,1969,7.9560876,13.6
Africa,,1970,9.16206,15.2
Africa,,1971,8.131308,-11.3
Africa,,1972,8.7477665,7.6
Africa,,1973,8.542279,-2.3
Africa,,1974,9.268067,8.5
Africa,,1975,9.238402,-0.3
Africa,,1976,9.416414,1.9
Africa,,1977,9.803299,4.1
Africa,,1978,9.519681,-2.9
Africa,,1979,9.350928,-1.8
Africa,,1980,8.486036,-9.2
Africa,,1981,7.859502,-7.4
Africa,,1982,7.378185,-6.1
Africa,,1983,6.456583,-12.5
Africa,,1984,6.1593933,-4.6
Africa,,1985,6.580027,6.8
Africa,,1986,6.7038097,1.9
Africa,,1987,6.2346725,-7
Africa,,1988,6.3508363,1.9
Africa,,1989,6.648682,4.7
Africa,,1990,6.568428,-1.2
Africa,,1991,6.9617434,6
Africa,,1992,6.5524845,-5.9
Africa,,1993,6.4210205,-2
Africa,,1994,6.2905235,-2
Africa,,1995,6.2837534,-0.1
Africa,,1996,6.4112005,2
Africa,,1997,6.44885,0.6
Africa,,1998,6.657183,3.2
Africa,,1999,6.8363028,2.7
Africa,,2000,7.1749406,5
Africa,,2001,7.4141307,3.3
Africa,,2002,7.6051617,2.6
Africa,,2003,7.0411763,-7.4
Africa,,2004,6.9333735,-1.5
Africa,,2005,6.998331,0.9
Africa,,2006,7.123233,1.8
Africa,,2007,7.0094085,-1.6
Africa,,2008,6.716138,-4.2
Africa,,2009,6.7757106,0.9
Africa,,2010,7.1018925,4.8
Africa,,2011,7.2255993,1.7
Africa,,2012,6.989345,-3.3
Africa,,2013,7.1956143,3
Africa,,2014,7.509692,4.4
Africa,,2015,7.464454,-0.6
Africa,,2016,7.307821,-2.1
Africa,,2017,7.7397423,5.9
Africa,,2018,8.169643,5.6
Africa,,2019,8.5593,4.8
Africa,,2020,9.624269,12.4
Africa,,2021,9.555876,-0.7
Africa (BP),,1965,5.7474957,-39.9
Africa (BP),,1966,6.122062,6.5
Africa (BP),,1967,6.325731,3.3
Africa (BP),,1968,7.005293,10.7
Africa (BP),,1969,7.9560876,13.6
Africa (BP),,1970,9.162059,15.2
Africa (BP),,1971,8.131308,-11.3
Africa (BP),,1972,8.7477665,7.6
Africa (BP),,1973,8.54228,-2.3
Africa (BP),,1974,9.268067,8.5
Africa (BP),,1975,9.238402,-0.3
